id;Program;type;length;credits;description;url;keywords;;;;;;;;;;;;;;;;;;;;
15;kärnkraftteknik;Högskoleingenjör;3;180;Är du intresserad av storskalig avancerad energiteknik med stor betydelse för det svenska samhället? Då finns Högskoleingenjörsprogrammet i kärnkraftteknik för dig. Utbildningen ger dig möjlighet att arbeta som ingenjör inom kärnkraftindustrin eller någon av dess många underleverantörer, med goda möjligheter till utveckling och karriär. Programmet är ettårigt och du ska tidigare ha läst minst två år på ett högskole- eller civilingenjörsprogram.;https://www.uu.se/utbildning/program/hogskoleingenjorsprogrammet-karnkraftteknik;Ingenjörsmässighet;Produktutveckling;Produktionsledning;Tillverkning;Automatisering;;;;;;;;;;;;;;;;
16;Maskin;Högskoleingenjör;3;180;Maskiningenjörer behövs överallt där fysiska produkter konstrueras och tillverkas. På Högskoleingenjörsprogrammet i maskinteknik vid Uppsala universitet får du lära dig hela processen i att utveckla ny teknik från idé till färdig produkt. Du lär dig också att förverkliga dina idéer genom att arbeta med produktutveckling. Som färdig högskoleingenjör i maskinteknik kan du jobba med att utveckla morgondagens produkter inom tillverkande teknikföretag.;https://www.uu.se/utbildning/program/hogskoleingenjorsprogrammet-maskinteknik;Ingenjörsmässighet;Medicinsk Teknik;Elektroteknik;Medicinsk Fysik;Anatomi;Fysiologi;;;;;;;;;;;;;;;
17;Medicin teknik;Högskoleingenjör;3;180;Vill du utveckla morgondagens medicintekniska produkter som kan rädda liv, ställa tidig diagnos och underlätta för att rätt behandling sätts in? Lockar en snabbt växande och tvärvetenskaplig bransch, samtidigt som du vill bidra till förbättrad hälsa och sjukvård? Då kan Högskoleingenjörsprogrammet i medicinsk teknik vara något för dig.;https://www.uu.se/utbildning/program/hogskoleingenjorsprogrammet-medicinsk-teknik;Medicinteknik;;;;;;;;;;;;;;;;;;;;
18;Biologi;Kandidat;3;180;Biologi omfattar allt från ekologi och miljö till molekylärbiologi och genetik. Det som kännetecknar biologer från Uppsala universitet är den breda kompetensen. Med ett av landets största utbud av kurser inom biologi och molekylärbiologi väljer du själv vilken sorts biolog du vill bli. Hos oss får du en utbildning som omfattar djupa faktakunskaper, förmåga att lösa problem och kommunicera, tänka analytiskt och arbeta vetenskapligt.;https://www.uu.se/utbildning/program/kandidatprogram-biologi;Biologi;Molekylärbiologi;Statistik;Programmering;Fysiologi;Evolutionsbiologi;Ekologi;Biokemi;Matematiska Modeller;;;;;;;;;;;;
19;Datavetenskap;Kandidat;3;180;Datorer används överallt. Någon måste programmera dem och se till att programvaran blir användarvänlig och fungerar som den ska. Kandidatprogrammet i datavetenskap ger dig kunskaper och färdigheter om modern informationsteknologi och hållbar programutveckling. Efter avslutad utbildning kan du jobba med att utveckla framtidens IT-lösningar på IT-företag eller en IT-avdelning inom någon annan bransch.;https://www.uu.se/utbildning/program/kandidatprogram-datavetenskap;Dataanalys;Maskininlärning;Programmering;;;;;;;;;;;;;;;;;;
20;Fysik - Fysik;Kandidat;3;180;Vill du förstå naturens lagar och processer? Beräkna krafterna som håller ihop en atomkärna eller som verkar på en golfboll vid utslaget? Kandidatprogrammet i fysik ger dig stabila kunskaper i fysik och de matematiska verktyg du behöver. Uppsala universitets unika miljö med världsledande forskning och kompetens inom de flesta av fysikens områden gör att du kan fördjupa dig utifrån dina intressen.;https://www.uu.se/utbildning/program/kandidatprogram-fysik-fysik;Naturvetenskapligt Arbetssätt;Fysik;Programmering;Problemlösningsförmåga;Fundamental Och Tillämpad Fysik;;;;;;;;;;;;;;;;
21;Geovetenskap;Kandidat;3;180;Upptäck jordens dynamik och historia. Hos oss lär du dig om berg och mineral, livets utveckling, luften, klimatet och jordens naturresurser. Utbildningen blandar teori och praktik och i många kurser bedrivs undervisningen i fält. Efter utbildningen kan du arbeta med samhällsplanering, miljöutredningar, klimatfrågor, mineral- och vattenresurser eller inom turism- eller informationsyrken. Arbetsmarknaden är god.;https://www.uu.se/utbildning/program/kandidatprogram-geovetenskap;Naturvetenskapligt Arbetssätt;Geologvetenskap;Gis;Sedimentologi;;;;;;;;;;;;;;;;;
22;Kemi;Kandidat;3;180;;https://www.uu.se/utbildning/program/kandidatprogram-kemi;Naturvetenskapligt Arbetssätt;Laborativt Arbete;Analytisk Kemi;Organisk Kemi;Oorganisk Kemi;Fysikalisk Kemi;;;;;;;;;;;;;;;
23;ledarskap – kvalitet – förbättring;Kandidat;3;180;Vill du leda och utveckla framtidens företag och organisationer utifrån ett långsiktigt hållbarhetsperspektiv? Kandidatprogrammet i ledarskap – kvalitet – förbättring ger dig kunskaper och verktyg inom ledarskap och verksamhetsutveckling. Du får studera utveckling utifrån både social, ekologisk och ekonomisk hållbarhet. Utbildningen har ett långsiktigt perspektiv på verksamhetsutveckling där vinster inte uppstår genom andra intressenters förluster.;https://www.uu.se/utbildning/program/kandidatprogram-ledarskap-kvalitet-forbattring;Ledarskap;Projektledning;;;;;;;;;;;;;;;;;;;
24;Matematik;Kandidat;3;180;Matematik behövs överallt. Den tillämpas inom allt från ekonomi till filosofi och är avgörande för att lösa stora utmaningar inom till exempel klimat, säkerhet, hälsa och för framsteg inom naturvetenskaplig forskning. På kandidatprogrammet i matematik får du en djupare förståelse för matematiken så att du kan anpassa och tillämpa den efter situation för att lösa komplexa problem. Efterfrågan på matematisk kompetens är hög och karriärvägarna många.;https://www.uu.se/utbildning/program/kandidatprogram-matematik;Matematik;Logik;Statistik;Dataanalys;;;;;;;;;;;;;;;;;
25;Additiv tillverkning;Master;2;120;Bygg en ljusare och effektivare framtid – lager för lager. Som masterstudent i additiv tillverkning kommer du att lära dig att skapa komplexa fysiska objekt genom 3D-skrivare och datorassisterade designprocesser i alltifrån amorfa metaller till biokompatibla material. Bli en del av initiativet som samlar forskning och utbildning inom additiv tillverkning vid Ångströmlaboratoriet, ett av Europas mest avancerade laboratorier för funktionella material.;https://www.uu.se/utbildning/program/masterprogram-additiv-tillverkning;Byggteknik;Materialvetenskap;;;;;;;;;;;;;;;;;;;
